"mws_the-last-man_1" "mws_the-last-man_2" "mws_the-last-man_3" "mws_the-last-man_4" "mws_the-last-man_5" "mws_the-last-man_6" "mws_the-last-man_7" "mws_the-last-man_8" "mws_the-last-man_9" "mws_the-last-man_10" "mws_the-last-man_11" "mws_the-last-man_12" "mws_the-last-man_13" "mws_the-last-man_14" "mws_the-last-man_15" "mws_the-last-man_16" "mws_the-last-man_17" "mws_the-last-man_18" "mws_the-last-man_19" "mws_the-last-man_20" "mws_the-last-man_21" "mws_the-last-man_22" "mws_the-last-man_23" "mws_the-last-man_24" "mws_the-last-man_25" "mws_the-last-man_26" "mws_the-last-man_27" "mws_the-last-man_28" "mws_the-last-man_29" "mws_the-last-man_30" "mws_the-last-man_31" "mws_the-last-man_32" "mws_the-last-man_33" "mws_the-last-man_34" "mws_the-last-man_35" "mws_the-last-man_36" "mws_the-last-man_37" "mws_the-last-man_38" "mws_the-last-man_39" "mws_the-last-man_40" "mws_the-last-man_41" "mws_the-last-man_42" "mws_the-last-man_43" "mws_the-last-man_44" "mws_the-last-man_45" "mws_the-last-man_46" "mws_the-last-man_47" "mws_the-last-man_48" "mws_the-last-man_49" "mws_the-last-man_50" "mws_the-last-man_51" "mws_the-last-man_52" "mws_the-last-man_53" "mws_the-last-man_54" "mws_the-last-man_55" "mws_the-last-man_56" "mws_the-last-man_57" "mws_the-last-man_58" "mws_the-last-man_59" "mws_the-last-man_60" "mws_the-last-man_61" "mws_the-last-man_62" "mws_the-last-man_63" "mws_the-last-man_64" "mws_the-last-man_65" "mws_the-last-man_66" "mws_the-last-man_67" "mws_the-last-man_68" "mws_the-last-man_69" "mws_the-last-man_70" "mws_the-last-man_71" "mws_the-last-man_72" "mws_the-last-man_73" "mws_the-last-man_74" "mws_the-last-man_75" "mws_the-last-man_76" "mws_the-last-man_77" "mws_the-last-man_78" "mws_the-last-man_79" "mws_the-last-man_80" "mws_the-last-man_81" "mws_the-last-man_82" "mws_the-last-man_83" "mws_the-last-man_84" "mws_the-last-man_85" "mws_the-last-man_86" "mws_the-last-man_87" "mws_the-last-man_88" "mws_the-last-man_89" "mws_the-last-man_90" "mws_the-last-man_91" "mws_the-last-man_92" "mws_the-last-man_93" "mws_the-last-man_94" "mws_the-last-man_95" "mws_the-last-man_96" "mws_the-last-man_97" "mws_the-last-man_98" "mws_the-last-man_99" "mws_the-last-man_100" "mws_the-last-man_101" "mws_the-last-man_102" "mws_the-last-man_103" "mws_the-last-man_104" "mws_the-last-man_105" "mws_the-last-man_106" "mws_the-last-man_107" "mws_the-last-man_108" "mws_the-last-man_109" "mws_the-last-man_110" "pbs_st-irvyne_1" "pbs_st-irvyne_2" "pbs_st-irvyne_3" "pbs_st-irvyne_4" "pbs_st-irvyne_5" "pbs_st-irvyne_6" "pbs_st-irvyne_7" "pbs_st-irvyne_8" "pbs_st-irvyne_9" "pbs_st-irvyne_10" "pbs_st-irvyne_11" "pbs_st-irvyne_12" "pbs_st-irvyne_13" "pbs_st-irvyne_14" "pbs_st-irvyne_15" "pbs_st-irvyne_16" "pbs_st-irvyne_17" "pbs_st-irvyne_18" "pbs_st-irvyne_19" "pbs_zastrozzi_1" "pbs_zastrozzi_2" "pbs_zastrozzi_3" "pbs_zastrozzi_4" "pbs_zastrozzi_5" "pbs_zastrozzi_6" "pbs_zastrozzi_7" "pbs_zastrozzi_8" "pbs_zastrozzi_9" "pbs_zastrozzi_10" "pbs_zastrozzi_11" "pbs_zastrozzi_12" "pbs_zastrozzi_13" "pbs_zastrozzi_14" "pbs_zastrozzi_15" "pbs_zastrozzi_16" "pbs_zastrozzi_17" "pbs_zastrozzi_18" "pbs_zastrozzi_19"
"again" 0 0.0625 0 0.25 0.4375 0.1875 0 0 0.0625 0.1875 0.0625 0.0625 0.25 0.1875 0.0625 0.375 0.25 0 0.25 0.3125 0.375 0.125 0 0.125 0.125 0 0.0625 0 0.0625 0.375 0.1875 0.25 0.125 0 0 0.4375 0.1875 0 0.1875 0.125 0.0625 0.1875 0 0.125 0 0.0625 0.1875 0.1875 0.0625 0.1875 0.1875 0 0 0.0625 0 0.125 0.0625 0 0 0.0625 0 0.125 0 0.0625 0 0.1875 0.1875 0.0625 0.125 0.0625 0 0 0.0625 0 0.0625 0.0625 0.1875 0.3125 0.4375 0.1875 0.1875 0 0.1875 0.125 0.1875 0.3125 0 0 0.1875 0.1875 0.1875 0.0625 0.4375 0 0.1875 0.4375 0.125 0.0625 0 0 0.0625 0.125 0.125 0.25 0.3125 0.125 0.1875 0 0 0.3125 0.0625 0.125 0 0.375 0.1875 0.0625 0.1875 0.0625 0.1875 0.5 0.25 0.25 0.1875 0.0625 0.3125 0 0 0.125 0.1875 0.3125 0.25 0 0.1875 0 0.125 0.5 0.3125 0.25 0.25 0.3125 0.125 0.25 0.125 0 0.125 0.4375 0.1875 0.1875
"even" 0 0.0625 0.1875 0.125 0.125 0.0625 0.25 0.25 0 0.0625 0.3125 0.125 0.125 0.1875 0.125 0.125 0.0625 0.125 0.375 0.3125 0.1875 0.25 0.1875 0.125 0.125 0.25 0.1875 0.25 0.125 0.125 0.125 0.1875 0.4375 0.5625 0.0625 0.1875 0.125 0.1875 0.25 0.1875 0.3125 0.125 0.1875 0.25 0.1875 0.1875 0.125 0.125 0.25 0.125 0.125 0 0.3125 0.25 0.25 0.1875 0.0625 0.125 0.3125 0.1875 0.0625 0.1875 0.125 0.125 0.0625 0.125 0.1875 0.0625 0.1875 0.125 0.125 0.0625 0.0625 0.125 0.125 0.125 0.0625 0.0625 0.1875 0.25 0.1875 0.25 0.1875 0.1875 0.0625 0.0625 0.125 0.3125 0 0.0625 0.125 0.375 0.25 0.0625 0.25 0.1875 0.125 0.0625 0.125 0.125 0 0.125 0.0625 0.125 0.3125 0.0625 0.1875 0.0625 0.1875 0.125 0.0625 0.1875 0.1875 0.1875 0.125 0.0625 0.5 0.125 0.25 0.125 0.1875 0.25 0.375 0.3125 0.25 0 0.0625 0.1875 0.125 0.1875 0.0625 0.0625 0.1875 0.1875 0.1875 0.0625 0.125 0.375 0.1875 0.0625 0.0625 0 0.3125 0 0.0625 0.125 0.25 0.125
"some" 0.25 0.0625 0 0.0625 0.0625 0 0 0.125 0.3125 0 0.1875 0 0.0625 0.0625 0.25 0.0625 0 0 0 0.1875 0.0625 0.125 0.125 0.0625 0.125 0.0625 0 0.125 0.0625 0.25 0.125 0.0625 0.125 0.125 0.0625 0 0 0.25 0.125 0.0625 0.1875 0 0.1875 0.0625 0.0625 0.0625 0.0625 0.0625 0.1875 0.1875 0 0.125 0.25 0.125 0.125 0.0625 0.1875 0.3125 0.125 0.0625 0.125 0.125 0.3125 0.1875 0.125 0.125 0 0.1875 0.3125 0.25 0.1875 0.125 0.1875 0.375 0 0.1875 0 0.1875 0 0.0625 0.25 0.125 0.0625 0.125 0.1875 0.1875 0.0625 0.1875 0.5 0 0.125 0.1875 0.125 0.125 0.1875 0.1875 0.25 0.0625 0.0625 0.1875 0.125 0.4375 0.1875 0.0625 0.3125 0.125 0.125 0 0.0625 0.3125 0.125 0.125 0.125 0.125 0.0625 0.0625 0.125 0.125 0.0625 0.0625 0.1875 0 0.0625 0.0625 0 0.0625 0 0.0625 0.0625 0.125 0.1875 0.3125 0.4375 0.25 0.0625 0.375 0.125 0.0625 0.0625 0.1875 0 0.0625 0 0.0625 0.125 0 0.125 0.1875
"did" 0 0.0625 0.125 0.0625 0.0625 0.0625 0.625 0.3125 0.125 0.375 0.0625 0 0.125 0.4375 0.1875 0 0.125 0.0625 0.25 0.125 0.125 0.125 0.25 0.0625 0.4375 0.25 0.125 0.3125 0.1875 0.125 0.25 0.125 0.3125 0.1875 0.0625 0 0.125 0.1875 0.25 0 0.125 0.0625 0.0625 0.1875 0 0.125 0.0625 0.0625 0.0625 0.3125 0.125 0.1875 0 0.0625 0.125 0.0625 0.0625 0.125 0.0625 0.125 0 0 0.1875 0.1875 0.125 0.25 0 0.0625 0.0625 0.0625 0.0625 0 0 0.25 0 0 0.375 0.0625 0 0.375 0.0625 0.125 0.125 0.125 0.125 0 0.1875 0.0625 0.0625 0.0625 0 0.0625 0.125 0.125 0.125 0.0625 0 0.0625 0.0625 0.125 0.25 0.125 0 0 0.0625 0.125 0.1875 0 0.125 0.0625 0 0 0.125 0 0.3125 0.0625 0.25 0.25 0.0625 0.0625 0.0625 0.125 0.0625 0.0625 0.1875 0.125 0.3125 0.125 0.3125 0.1875 0.125 0.0625 0 0.125 0.25 0 0 0.1875 0.0625 0.1875 0.0625 0 0.125 0.375 0.125 0.0625 0.0625 0.0625
"might" 0.125 0 0.3125 0.0625 0.125 0.125 0.0625 0.25 0.25 0 0.125 0.0625 0.125 0.0625 0.0625 0.0625 0.0625 0.3125 0.125 0.1875 0.3125 0 0.0625 0.0625 0.25 0.1875 0.125 0.1875 0.0625 0.25 0.125 0.125 0.25 0.25 0.0625 0.0625 0.3125 0.0625 0.25 0 0.1875 0.0625 0.0625 0.125 0.0625 0 0.25 0.1875 0.25 0.1875 0.0625 0.0625 0.125 0 0.0625 0.0625 0.1875 0.125 0 0.3125 0.1875 0.0625 0.1875 0.125 0.1875 0.0625 0.1875 0.0625 0.0625 0.25 0.125 0 0.1875 0.1875 0.125 0.375 0.1875 0.1875 0.125 0.1875 0 0.125 0.125 0 0 0.1875 0 0 0.125 0 0.125 0.25 0.1875 0.1875 0.375 0.0625 0 0.0625 0.25 0 0 0.125 0.125 0.1875 0.125 0.125 0.0625 0.0625 0 0 0.25 0.1875 0.3125 0.1875 0.125 0 0.0625 0.3125 0 0.125 0.1875 0.1875 0.125 0 0.1875 0.0625 0.0625 0 0.0625 0 0.125 0.1875 0.1875 0.0625 0.125 0.25 0.3125 0.0625 0.0625 0.1875 0.0625 0.125 0.25 0.1875 0 0.125 0.1875 0
"do" 0 0 0 0 0.1875 0.1875 0 0 0.125 0.0625 0 0.4375 0.8125 0 0.125 0.4375 0 0.1875 0.5 0.1875 0.0625 0.6875 0.0625 0 0.125 0.3125 0.0625 0 0.4375 0.0625 0.125 0.1875 0.125 0.25 0.0625 0.4375 0.0625 0.125 0 0.125 0.125 0.0625 0.0625 0.4375 0 0.125 0.125 0.0625 0.1875 0.125 0 0 0 0.125 0.0625 0 0.25 0.125 0.1875 0.0625 0.3125 0 0.0625 0 0.125 0 0.0625 0 0 0.1875 0 0.1875 0.125 0 0.125 0 0.0625 0.25 0.3125 0 0.0625 0.1875 0.125 0.0625 0.1875 0 0 0 0 0.375 0.0625 0.3125 0 0 0 0 0.0625 0.0625 0 0.0625 0.0625 0 0.125 0.1875 0 0 0.0625 0 0.0625 0.0625 0.125 0 0.0625 0.125 0 0.0625 0 0.125 0.125 0.25 0 0.0625 0.25 0.125 0.125 0.125 0 0.375 0 0 0.0625 0.0625 0.125 0.125 0 0.0625 0.125 0.1875 0.0625 0.125 0 0.125 0.0625 0.125 0.375 0.0625 0.1875 0
"should" 0.0625 0.125 0 0.1875 0.5625 0.0625 0.125 0.25 0.25 0 0.125 0.25 0.1875 0.3125 0.0625 0.25 0.1875 0.25 0.1875 0.25 0 0.0625 0.1875 0.3125 0.25 0.0625 0.3125 0.125 0.3125 0.125 0.25 0.0625 0.1875 0.125 0.25 0.0625 0.0625 0.0625 0.125 0 0.0625 0.125 0.125 0.0625 0.1875 0 0.125 0.1875 0.25 0.125 0 0.25 0.0625 0 0.0625 0.125 0.0625 0.1875 0.125 0.1875 0.5 0.25 0.0625 0.0625 0.0625 0 0.125 0.0625 0 0.0625 0.125 0.0625 0.1875 0.25 0.1875 0.0625 0.375 0.125 0 0.125 0.25 0.375 0.3125 0.125 0 0.1875 0 0.1875 0.25 0.625 0.375 0.3125 0.5 0.4375 0.0625 0 0.0625 0.125 0.125 0 0 0.0625 0.0625 0.0625 0.1875 0.0625 0.5625 0 0.3125 0.125 0.125 0.0625 0.125 0.125 0 0.0625 0 0 0.0625 0 0.0625 0.125 0.125 0.125 0.1875 0.125 0 0 0 0 0.0625 0.125 0 0.125 0 0.1875 0.0625 0.25 0 0.0625 0.125 0 0.125 0 0 0.125 0 0
"these" 0.375 0.25 0.1875 0.125 0.1875 0 0.0625 0.125 0.125 0.1875 0 0 0.0625 0.125 0.0625 0 0 0 0.0625 0 0.0625 0.0625 0 0.0625 0.125 0.25 0.0625 0.0625 0.1875 0.125 0.25 0 0.25 0.0625 0.4375 0.125 0.125 0.1875 0.125 0.125 0 0.0625 0 0.25 0.25 0.0625 0 0.125 0.0625 0.125 0.0625 0.3125 0.3125 0.25 0.4375 0.25 0.25 0.375 0 0.1875 0.1875 0.375 0.125 0.1875 0.125 0.0625 0 0.0625 0.25 0.25 0.1875 0.25 0.1875 0.125 0 0.3125 0.1875 0.1875 0.0625 0.0625 0.25 0.125 0.0625 0.125 0.1875 0.1875 0.1875 0.1875 0.3125 0.1875 0.3125 0.125 0.3125 0.3125 0.125 0.1875 0.625 0 0 0.125 0.125 0.1875 0.25 0 0.0625 0.1875 0.3125 0.1875 0.3125 0.25 0.0625 0.25 0.125 0.0625 0 0 0.125 0.125 0.125 0.125 0 0.1875 0 0.0625 0.0625 0.1875 0.1875 0 0.0625 0 0 0 0.125 0 0.125 0.0625 0.0625 0.0625 0 0.0625 0 0.125 0.0625 0.0625 0.0625 0.0625 0.25 0
"than" 0.0625 0.1875 0.125 0.25 0.125 0.125 0.0625 0.3125 0 0.125 0.125 0.125 0.1875 0.0625 0.125 0.25 0.125 0.25 0.125 0.0625 0.125 0.0625 0.125 0.0625 0.125 0.125 0.0625 0.125 0.1875 0.1875 0.125 0.0625 0.3125 0.125 0.0625 0.25 0.0625 0.375 0.0625 0.0625 0.25 0 0 0 0 0.125 0.0625 0.125 0.125 0.375 0.0625 0.1875 0.1875 0 0.0625 0.1875 0.0625 0.1875 0.0625 0.0625 0.125 0.0625 0.375 0.0625 0.1875 0 0 0.125 0.375 0.25 0.1875 0.0625 0.125 0.125 0.3125 0.25 0.0625 0 0.125 0.1875 0.125 0 0.125 0.125 0.125 0.125 0.3125 0.125 0.25 0.0625 0.25 0.1875 0.375 0.25 0.125 0.25 0.25 0.0625 0 0 0.1875 0 0 0.0625 0.0625 0.1875 0.3125 0.1875 0 0 0.125 0.0625 0.25 0 0 0 0.25 0.125 0.125 0.0625 0.125 0.0625 0 0.125 0.0625 0.25 0.25 0.1875 0.0625 0 0.0625 0.0625 0 0.0625 0.0625 0.0625 0.125 0 0.1875 0.125 0.125 0.0625 0.1875 0.125 0.0625 0.125 0.0625 0.1875
"still" 0.25 0.1875 0 0 0 0.0625 0.125 0 0.0625 0.0625 0 0 0.125 0 0.25 0.0625 0.0625 0 0.1875 0.125 0.0625 0.125 0.125 0 0.125 0 0.0625 0.125 0 0.0625 0.1875 0.1875 0 0.0625 0.125 0.1875 0.1875 0.0625 0.0625 0 0.0625 0.0625 0.125 0.1875 0 0.125 0.1875 0.125 0.125 0.125 0 0 0.125 0.1875 0.0625 0.0625 0.125 0 0.125 0 0 0.25 0.25 0 0.25 0.125 0.1875 0.1875 0.0625 0.1875 0.125 0.125 0.1875 0.1875 0.0625 0.25 0.3125 0.25 0 0 0 0 0.0625 0.1875 0.125 0.0625 0.125 0 0 0 0.0625 0.0625 0.0625 0.0625 0.125 0 0.1875 0.0625 0.25 0.125 0.125 0.125 0.0625 0 0.125 0.125 0.0625 0.1875 0.0625 0.1875 0.0625 0.125 0.125 0.0625 0.125 0 0.125 0.0625 0.25 0.0625 0.0625 0.0625 0.25 0.125 0.125 0 0 0 0.0625 0.3125 0.1875 0.125 0.125 0.0625 0.3125 0 0.25 0.375 0 0.125 0.3125 0.1875 0.1875 0.3125 0.25 0 0.25 0.125
"us" 0.625 0 0.1875 0.0625 0.375 0.1875 0.0625 0.125 0 0 0.125 0 0.0625 0.1875 0.125 0.125 0.1875 0.4375 0.25 0 0.5 0.3125 0.375 0.75 0.375 0 0 0.0625 0.3125 0.0625 0.1875 0.3125 0.125 0.0625 0.25 0.25 0.0625 0.25 0.4375 0.1875 0.125 0.0625 0.0625 0.1875 0.0625 0.0625 0.0625 0.125 0.125 0.0625 0.625 0.3125 0.25 0.5625 0.5 0.125 0.4375 0.4375 0 0.25 0.125 0.375 0.1875 0.375 0.0625 0.125 0.0625 0.3125 0 0.5625 0 0.1875 0.375 0.375 0.4375 1.0625 0.4375 0.4375 0.4375 0.0625 0.25 0.375 0.4375 0 0.25 0.1875 0.875 0.3125 0.375 0.5625 0.3125 0.1875 0.4375 0.0625 0.0625 0.375 0.6875 0.25 0.4375 0.6875 0.4375 0.6875 0.375 0.8125 0 0.125 0.0625 0.0625 0 0 0.125 0 0.25 0 0 0.25 0 0 0 0.0625 0.1875 0 0.0625 0.0625 0 0 0 0 0.0625 0.0625 0 0.25 0.0625 0.125 0 0 0 0.125 0 0 0.0625 0.1875 0.0625 0.125 0.0625 0.0625 0.0625 0.125
"am" 0 0.0625 0 0 0.0625 0.0625 0 0 0.0625 0 0.0625 0.1875 0.25 0 0.5 0.125 0 0.25 0.1875 0.0625 0 0.1875 0.0625 0.0625 0.0625 0 0.0625 0 0.375 0.0625 0.1875 0.125 0.125 0.1875 0 0.375 0 0.125 0 0 0 0 0.125 0.25 0.25 0.125 0 0 0.1875 0.125 0 0 0 0.0625 0 0.0625 0.125 0.0625 0.125 0.0625 0.0625 0.125 0 0 0 0 0.125 0 0 0.0625 0 0 0 0 0 0.125 0.1875 0.0625 0.3125 0.0625 0.1875 0.3125 0 0 0.0625 0 0 0 0 0 0 0.3125 0.375 0 0 0 0.1875 0 0 0 0.0625 0 0 0 0 0.1875 0.0625 0.1875 0.0625 0.0625 0.0625 0 0.0625 0.125 0.0625 0.0625 0 0.0625 0.4375 0.125 0.125 0 0.125 0 0.0625 0.125 0.0625 0.1875 0.0625 0 0.0625 0.25 0.25 0.125 0.0625 0.0625 0.125 0.3125 0.1875 0 0.0625 0 0.1875 0.1875 0.0625 0.125 0.0625 0.5
"must" 0 0.125 0 0 0.125 0.0625 0.0625 0.25 0.1875 0.125 0 0.375 0.1875 0 0.0625 0.25 0 0.0625 0.125 0.25 0.125 0.0625 0.3125 0.0625 0.125 0.1875 0.125 0.0625 0.1875 0.125 0.1875 0.0625 0.3125 0.25 0.1875 0.25 0 0.125 0.0625 0.0625 0 0 0 0.125 0.0625 0.0625 0.25 0.0625 0.125 0.125 0.6875 0.0625 0.125 0.0625 0.5 0.0625 0.3125 0.0625 0.25 0.125 0.125 0.1875 0 0.1875 0.125 0 0.1875 0.1875 0.125 0.0625 0.25 0.1875 0.125 0 0.5625 0.3125 0 0 0.4375 0.0625 0.0625 0.4375 0.125 0.125 0.0625 0.25 0.0625 0 0 0 0.0625 0.0625 0.1875 0.0625 0.0625 0 0.25 0 0 0.125 0 0 0 0.125 0.0625 0.125 0.125 0.0625 0 0 0 0.0625 0 0.125 0.1875 0.125 0 0.1875 0.25 0.125 0.125 0.125 0.0625 0.125 0 0.4375 0.1875 0.25 0.5 0.0625 0.0625 0.25 0.4375 0.125 0 0 0 0.25 0 0.125 0.1875 0 0.0625 0.125 0.4375 0 0 0.0625
"last" 0 0.25 0 0.125 0 0.1875 0.0625 0 0 0 0 0 0 0.125 0.3125 0.0625 0.0625 0 0 0.0625 0.0625 0 0.1875 0.125 0 0.0625 0 0 0 0.0625 0.1875 0.0625 0.125 0.0625 0.1875 0 0.0625 0.125 0 0.125 0 0.0625 0.125 0.25 0.0625 0.125 0.125 0 0.125 0 0.125 0.125 0.0625 0 0 0.0625 0.25 0.0625 0.0625 0 0 0.1875 0.1875 0 0.0625 0 0.625 0.125 0.0625 0.0625 0 0 0.3125 0.125 0.1875 0.0625 0.375 0 0.125 0.4375 0.125 0.1875 0 0.125 0 0.375 0.125 0.0625 0.125 0.0625 0.125 0.0625 0.375 0.125 0.125 0.5 0.25 0.375 0.0625 0.25 0.0625 0 0.0625 0.125 0.1875 0.25 0.125 0.0625 0.0625 0.375 0.125 0.1875 0.125 0.0625 0.0625 0.0625 0.1875 0 0 0.0625 0.125 0.1875 0.125 0.25 0.0625 0.0625 0.0625 0.125 0.25 0.3125 0.1875 0.25 0.125 0.125 0.3125 0.3125 0.25 0 0.25 0 0.0625 0.0625 0.0625 0.375 0.25 0.25 0.375 0.1875
"there" 0.25 0 0.0625 0.0625 0 0.0625 0.1875 0.375 0.0625 0.125 0.3125 0.125 0.0625 0.25 0.25 0.25 0.3125 0 0.125 0.1875 0.1875 0.0625 0 0 0 0.25 0 0.0625 0.0625 0.1875 0.1875 0.125 0.1875 0 0.25 0.1875 0 0.125 0 0 0.25 0.25 0.125 0.0625 0.125 0 0.0625 0.1875 0.25 0 0.0625 0.25 0.125 0.125 0.1875 0.125 0.1875 0.125 0.4375 0.25 0.125 0.3125 0.1875 0.125 0.3125 0.1875 0.25 0.125 0.25 0.0625 0.0625 0.125 0.125 0.1875 0.125 0.375 0.125 0.375 0.125 0.0625 0.3125 0.375 0 0.375 0.125 0 0.25 0.1875 0.1875 0.3125 0.1875 0 0.1875 0.1875 0.0625 0.0625 0.125 0.25 0.0625 0 0.1875 0.125 0.3125 0.125 0.0625 0.0625 0.1875 0.25 0.0625 0 0.125 0.0625 0.3125 0 0.0625 0.1875 0.125 0.0625 0.0625 0.0625 0.3125 0.125 0.1875 0.0625 0.125 0.3125 0.25 0.125 0.0625 0.0625 0.0625 0.25 0.125 0.0625 0.0625 0.125 0.0625 0 0.125 0 0.0625 0.0625 0 0 0.0625 0.125 0.125 0
"never" 0 0.125 0.125 0.125 0.0625 0.1875 0.0625 0.125 0.125 0 0.125 0.125 0.1875 0 0.0625 0.25 0.1875 0.0625 0.125 0.125 0 0.125 0.125 0.1875 0.125 0.0625 0.4375 0.1875 0.125 0.125 0.0625 0.125 0.3125 0 0.1875 0.1875 0.0625 0.125 0.0625 0.0625 0 0 0 0.1875 0 0 0.0625 0 0.25 0 0.0625 0.0625 0.1875 0 0.125 0.0625 0.0625 0.0625 0 0.25 0.1875 0.1875 0 0.0625 0 0 0.0625 0.1875 0.0625 0 0 0.125 0.0625 0.0625 0.0625 0.125 0.1875 0.1875 0.1875 0.125 0 0.1875 0 0.0625 0.0625 0.25 0.0625 0 0.1875 0 0 0.0625 0 0 0.125 0.1875 0.1875 0.0625 0 0.0625 0.125 0 0.0625 0.0625 0.0625 0.5 0 0.0625 0 0.125 0.125 0.0625 0.0625 0.0625 0.25 0.375 0.125 0.25 0.0625 0.3125 0.0625 0 0.3125 0.125 0.25 0 0.3125 0.125 0.3125 0.125 0.125 0.0625 0 0.1875 0 0 0 0.125 0.0625 0 0.0625 0.0625 0.4375 0.125 0.0625 0.125 0 0.125
"ever" 0 0.0625 0 0 0.0625 0.1875 0.0625 0.1875 0.0625 0.0625 0.125 0.0625 0.1875 0.1875 0.0625 0 0 0.25 0.125 0.125 0.25 0 0 0 0.0625 0.125 0.0625 0.1875 0.125 0.0625 0.0625 0.0625 0.1875 0.0625 0 0 0.0625 0.0625 0.125 0.0625 0.125 0 0.0625 0 0.25 0.0625 0 0 0.0625 0.0625 0.125 0.125 0.25 0.25 0 0.0625 0 0.0625 0.0625 0.125 0 0 0.0625 0.125 0 0 0.125 0.0625 0.0625 0.0625 0.0625 0.0625 0 0.125 0.125 0.3125 0.0625 0 0.1875 0 0 0 0.0625 0.25 0.125 0 0 0 0.125 0.1875 0 0.0625 0 0.0625 0.125 0.125 0.125 0.0625 0.125 0.0625 0.3125 0.25 0.0625 0.0625 0.25 0.25 0.0625 0.0625 0.0625 0.1875 0 0.125 0.0625 0 0.125 0.0625 0.0625 0.125 0.4375 0.3125 0 0.125 0.125 0.0625 0.0625 0.1875 0.25 0.125 0.1875 0 0 0 0 0.0625 0.0625 0 0.1875 0.125 0.375 0.25 0.125 0 0.0625 0.25 0.125 0.375 0 0
"most" 0 0 0.125 0 0.125 0 0.0625 0 0.125 0.25 0 0.0625 0.125 0 0.0625 0.0625 0.125 0.125 0 0 0 0 0.0625 0.0625 0.0625 0 0.0625 0.0625 0.0625 0 0 0.125 0.0625 0.125 0 0 0 0 0.25 0 0 0.125 0 0.0625 0 0 0 0.0625 0 0.0625 0.0625 0.125 0.125 0 0 0.0625 0 0.0625 0.0625 0 0.125 0.0625 0 0 0.0625 0 0.0625 0.0625 0.1875 0.125 0 0 0 0.125 0 0.125 0 0.0625 0.0625 0 0.0625 0 0 0 0 0 0.0625 0.125 0 0.0625 0 0 0.125 0.25 0.125 0 0.0625 0.0625 0 0 0.125 0.0625 0.0625 0.125 0 0.1875 0 0 0.1875 0.125 0.0625 0.25 0.375 0.0625 0.0625 0.0625 0.0625 0.125 0 0.1875 0.125 0.0625 0.1875 0.125 0.0625 0.1875 0.1875 0.25 0.0625 0.125 0.0625 0.0625 0.125 0.1875 0.1875 0.125 0.0625 0.0625 0.125 0.125 0.5625 0.1875 0.1875 0.1875 0 0.1875 0.0625 0
"towards" 0 0 0 0 0 0 0.125 0.1875 0.125 0.0625 0 0 0 0 0.1875 0 0 0 0.0625 0 0 0.0625 0 0 0.0625 0.0625 0 0.125 0.1875 0.0625 0.0625 0.0625 0.125 0.0625 0.0625 0.125 0.3125 0.0625 0.0625 0.125 0 0.125 0.0625 0.0625 0 0.1875 0.0625 0 0.0625 0 0.125 0.125 0.125 0 0 0 0.0625 0.125 0.0625 0.0625 0.125 0.125 0.0625 0.0625 0.125 0.0625 0 0.0625 0.0625 0.0625 0.0625 0 0.0625 0 0.0625 0.0625 0 0.0625 0 0.1875 0 0 0 0 0.0625 0.1875 0.1875 0 0.0625 0.0625 0.0625 0 0.0625 0.0625 0.25 0.1875 0.125 0.125 0.0625 0.0625 0.0625 0.375 0.0625 0 0 0 0.125 0.0625 0 0.0625 0.3125 0 0.25 0 0.0625 0.125 0.1875 0 0.125 0.1875 0.125 0.0625 0 0.0625 0 0 0.0625 0 0.0625 0 0 0.25 0.0625 0.1875 0.4375 0.25 0.1875 0.125 0.125 0 0.125 0.25 0.3125 0.25 0.0625 0.125 0.0625 0.125
"whose" 0.25 0.0625 0 0.125 0.0625 0 0.125 0 0.1875 0 0.0625 0 0.0625 0.0625 0.125 0.0625 0.3125 0 0.1875 0 0.0625 0 0 0 0.125 0 0.125 0.3125 0 0.125 0.1875 0 0.0625 0 0 0.125 0 0.125 0.125 0.0625 0.125 0 0 0 0.0625 0 0.1875 0.125 0 0 0.0625 0 0.125 0.0625 0.0625 0.3125 0 0 0.125 0 0 0.1875 0.1875 0 0.1875 0.125 0.0625 0.0625 0.0625 0.4375 0.25 0.125 0.125 0.125 0.25 0.0625 0.0625 0.0625 0.0625 0 0.0625 0.0625 0.25 0.0625 0.125 0.0625 0.125 0.1875 0.0625 0.0625 0.0625 0.1875 0.0625 0.0625 0.1875 0.1875 0.125 0.125 0.1875 0.375 0.1875 0.25 0.25 0 0.0625 0.0625 0.125 0.1875 0.125 0.1875 0.375 0.3125 0.0625 0.125 0 0.0625 0.25 0.3125 0.1875 0.0625 0.375 0.0625 0.0625 0.0625 0.1875 0 0.1875 0.25 0 0.0625 0.125 0.125 0.0625 0.1875 0.125 0 0 0 0.0625 0.1875 0 0.1875 0.0625 0.0625 0.125 0.1875 0.1875 0.125
